Time,13 PM - 14 PM,14 PM - 15 PM,15 PM - 16 PM,16 PM - 17 PM,17 PM - 18 PM,18 PM - 19 PM,19 PM - 20 PM,20 PM - 21 PM,21 PM - 22 PM
/api/mobile/ekyc/v1/bank/list,211507.2,3891120.792,170599.4828,174504.0741,198167.6667,208765.0769,0,0,225906.1429
/api/mobile/ekyc/v1/login,130196.775,70613.52941,95085.68421,87157.64286,66980.71429,139600.375,107475.25,96200.375,86338.33333
/api/mobile/v1/branch,36592.56609,23653.8373,21114.66453,12989.47684,15446.01871,16303.77189,18703.49531,16721.97343,15706.0789
/api/mobile/v1/inquery,760662.5588,701535.5482,747283.0286,708975.9385,781744.339,706104.9222,854883.902,698108.5725,740105.3503
/api/mobile/v1/member/notification,81096.45794,66489.79126,65181.76881,61667.78833,69425.41971,70098.66247,70295.82988,69405.91213,69979.09107
/api/mobile/v1/member/register,344982.8301,216533.3265,171369.7669,171932.0071,193027,214230.5,237126.75,210488.975,172799.5965
/api/mobile/v1/payment/code,34264.61044,28526.83069,36420.0146,12583.55556,13011.82759,12445.08333,12626.36207,12983.47761,12857.875
/api/mobile/v1/sms/otp,529476.5909,456961.2763,383155.8187,364623.6792,152294.3478,232546.7714,1378331.929,1877060.319,2489316.918
/api/mobile/v1/statement/detail,204471.4462,107229.9365,104999.0263,107281.1707,112176.9231,112414,108618.2,118855.7368,113869.2857
/api/mobile/v1/token/refresh,25821.22406,8177.732789,10771.08954,2451.782655,2470.833667,2426.489529,2410.020779,2482.707182,2569.008403
/api/mobile/v1/version,15930.14319,16625.6952,7794.912905,1876.01393,1844.925094,1883.867347,2062.353801,1878.463807,1916.090713
