API List,13 PM - 14 PM,14 PM - 15 PM,15 PM - 16 PM,16 PM - 17 PM,17 PM - 18 PM,18 PM - 19 PM,19 PM - 20 PM,20 PM - 21 PM,21 PM - 22 PM
/api/mobile/ekyc/v1/bank/list,25,101,29,27,12,13,0,0,7
/api/mobile/ekyc/v1/login,40,17,19,14,7,8,4,8,6
/api/mobile/v1/branch,2489,2268,1720,1101,588,491,426,414,507
/api/mobile/v1/inquery,5836,5578,4057,2538,1289,1016,1010,945,1316
/api/mobile/v1/member/notification,2889,2587,2007,1200,629,477,482,478,560
/api/mobile/v1/member/register,153,196,163,141,53,50,44,40,57
/api/mobile/v1/payment/code,249,189,137,81,29,36,58,67,88
/api/mobile/v1/sms/otp,220,257,171,106,23,35,184,113,49
/api/mobile/v1/statement/detail,65,63,76,41,13,9,10,19,14
/api/mobile/v1/token/refresh,2120,1961,1463,934,499,382,385,362,476
/api/mobile/v1/version,2137,2021,1573,1005,534,392,342,373,463
